Age,Gender,Education Level,Job Title,Years of Experience,Company Tier,Salary
50,Male,Bachelors,Teacher,27,Mid-size,1558401
40,Female,Masters,Software Engineer,17,Startup,2300159
43,Male,PhD,Accountant,22,Mid-size,2988044
42,Female,High School,Data Scientist,21,Startup,1619310
46,Female,Masters,Accountant,25,Startup,1676798
49,Female,Bachelors,Accountant,25,MNC,1902737
24,Male,PhD,Data Scientist,3,Startup,1602934
39,Male,PhD,Data Scientist,15,Mid-size,3664659
30,Female,High School,Lawyer,8,Startup,2061177
28,Female,High School,Software Engineer,4,Mid-size,687560
35,Female,High School,Lawyer,14,MNC,2856944
23,Female,Masters,Software Engineer,1,Mid-size,1155406
50,Male,Bachelors,Doctor,27,Mid-size,7271918
31,Male,PhD,Software Engineer,9,Mid-size,1924386
36,Male,Masters,Accountant,12,MNC,2832584
42,Male,PhD,Software Engineer,18,Startup,3020631
45,Female,PhD,Teacher,23,Startup,1911863
50,Female,High School,Software Engineer,27,MNC,1426227
29,Male,Masters,Lawyer,5,MNC,3893218
26,Male,PhD,Accountant,4,Mid-size,1611729
28,Female,High School,Data Scientist,7,MNC,1515509
44,Female,High School,Software Engineer,22,MNC,1515341
43,Male,High School,Teacher,20,Mid-size,874539
35,Male,High School,Software Engineer,12,Mid-size,1212241
35,Female,Masters,Data Scientist,12,Startup,1947907
53,Male,PhD,Accountant,30,Mid-size,3981423
25,Female,Masters,Data Scientist,3,Mid-size,1377966
36,Male,PhD,Accountant,13,Mid-size,2916147
49,Female,Masters,Lawyer,27,Startup,4757837
27,Male,Masters,Lawyer,3,Startup,2290339
51,Female,PhD,Teacher,29,MNC,2688094
49,Male,Bachelors,Accountant,28,Startup,2029307
48,Female,High School,Software Engineer,26,MNC,1602044
48,Male,Masters,Lawyer,27,Startup,7498203
45,Male,High School,Software Engineer,22,MNC,1543506
45,Male,PhD,Accountant,24,Mid-size,3254427
33,Female,Bachelors,Data Scientist,11,MNC,2448994
58,Female,Masters,Accountant,37,Startup,3290644
44,Male,Bachelors,Doctor,23,Startup,6047793
23,Female,PhD,Data Scientist,2,Mid-size,1946303
53,Male,Masters,Software Engineer,30,Startup,3173956
38,Female,High School,Software Engineer,15,Startup,1209334
55,Female,PhD,Accountant,33,Startup,4504983
37,Male,PhD,Teacher,16,MNC,1658295
37,Male,Bachelors,Data Scientist,16,MNC,2823043
57,Male,High School,Software Engineer,34,Mid-size,2020282
41,Female,Masters,Software Engineer,17,MNC,1588502
22,Female,Masters,Software Engineer,0,Mid-size,795058
44,Female,Bachelors,Teacher,21,Mid-size,1112986
37,Male,PhD,Data Scientist,15,Mid-size,3551510
23,Female,Bachelors,Lawyer,2,Startup,2019726
30,Female,PhD,Lawyer,9,Mid-size,4268835
24,Female,PhD,Lawyer,0,Mid-size,2985669
45,Male,High School,Doctor,21,Startup,5069450
56,Male,PhD,Accountant,32,Startup,3962847
50,Male,High School,Data Scientist,28,Startup,2174052
56,Female,Bachelors,Accountant,32,MNC,2800482
41,Female,Masters,Data Scientist,17,MNC,3367044
38,Male,High School,Lawyer,14,Mid-size,2678776
43,Male,Bachelors,Teacher,20,Mid-size,960419
59,Male,High School,Software Engineer,38,Startup,2230134
48,Female,Masters,Doctor,26,Startup,7547666
54,Male,Bachelors,Teacher,33,Mid-size,1255654
25,Male,PhD,Teacher,2,Startup,820183
27,Male,PhD,Teacher,4,MNC,983177
52,Male,Bachelors,Data Scientist,29,MNC,3340598
54,Male,PhD,Teacher,30,Startup,1421968
52,Female,Masters,Software Engineer,30,Startup,3082195
45,Female,Bachelors,Accountant,23,Startup,1767552
23,Male,Bachelors,Software Engineer,1,MNC,1094092
50,Female,High School,Teacher,28,Startup,1153443
46,Female,High School,Accountant,22,Startup,1683340
57,Male,PhD,Lawyer,36,Mid-size,9098755
44,Female,Masters,Software Engineer,21,Startup,1667844
44,Male,High School,Data Scientist,21,MNC,2306484
43,Female,PhD,Software Engineer,21,MNC,3219494
27,Male,PhD,Teacher,4,Startup,734460
54,Female,PhD,Accountant,30,Mid-size,3834841
26,Male,High School,Lawyer,3,Mid-size,2346689
37,Female,High School,Teacher,16,MNC,846506
40,Male,PhD,Lawyer,16,MNC,7375410
47,Male,Masters,Lawyer,26,Mid-size,5266956
33,Female,Bachelors,Teacher,12,Mid-size,727867
46,Female,Masters,Doctor,22,Mid-size,7058400
26,Male,High School,Teacher,4,MNC,578803
43,Female,Bachelors,Data Scientist,22,MNC,2814943
51,Male,Masters,Software Engineer,29,Startup,2511017
51,Female,Masters,Lawyer,30,Startup,6384970
26,Male,High School,Lawyer,2,Mid-size,1591483
40,Female,Bachelors,Data Scientist,18,Startup,3313370
25,Male,High School,Doctor,1,Startup,1852980
49,Female,PhD,Accountant,25,Startup,4117516
33,Male,PhD,Software Engineer,11,MNC,2334100
58,Female,High School,Teacher,34,Mid-size,1167766
31,Male,High School,Lawyer,8,MNC,2527360
